CNPJ,COMPANY_NAME,FANTASY_NAME,ADDRESS,NUMBER,COMPLEMENT,NEIGHBORHOOD,ZIP_CODE,MUNICIPALITY,STATE,FLAG,PRODUCT, UNIT_OF_MEASUREMENT,RETAIL_PRICE,DATE_OF_COLLECTION
1452007000450,MAGGIORE COMERCIO A VAREJO DE COMBUSTIVEIS LTDA,,RUA PROF JOAO S BARCELOS,1796,,BOQUEIRAO,81670000,CURITIBA,PARANA,LIQUIGÁS,GLP,R$ / 13 kg,119.99,2023-02-09
1452007000298,MAGGIORE COMERCIO A VAREJO DE COMBUSTIVEIS LTDA,,RUA ANTONIO GASPARIM,5323,,CAPAO RASO,81050210,CURITIBA,PARANA,LIQUIGÁS,GLP,R$ / 13 kg,111.99,2023-02-09
544656000175,POSTO DE COMBUSTIVEIS EL CHARIF LTDA,MAX POSTO,RODOVIA BR-277 CURITIBA-PARANAGUA,793,,CAJURU,82900335,CURITIBA,PARANA,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,99.9,2023-02-07
544656000175,POSTO DE COMBUSTIVEIS EL CHARIF LTDA,MAX POSTO,RODOVIA BR-277 CURITIBA-PARANAGUA,793,,CAJURU,82900335,CURITIBA,PARANA,VIBRA ENERGIA,ETANOL,R$ / litro,4.13,2023-02-07
544656000175,POSTO DE COMBUSTIVEIS EL CHARIF LTDA,MAX POSTO,RODOVIA BR-277 CURITIBA-PARANAGUA,793,,CAJURU,82900335,CURITIBA,PARANA,VIBRA ENERGIA,DIESEL S10,R$ / litro,6.19,2023-02-07
544656000175,POSTO DE COMBUSTIVEIS EL CHARIF LTDA,MAX POSTO,RODOVIA BR-277 CURITIBA-PARANAGUA,793,,CAJURU,82900335,CURITIBA,PARANA,VIBRA ENERGIA,DIESEL S500,R$ / litro,6.09,2023-02-07
544656000175,POSTO DE COMBUSTIVEIS EL CHARIF LTDA,MAX POSTO,RODOVIA BR-277 CURITIBA-PARANAGUA,793,,CAJURU,82900335,CURITIBA,PARANA,VIBRA ENERGIA,GASOLINA ADITIVADA,R$ / litro,5.59,2023-02-07
544656000175,POSTO DE COMBUSTIVEIS EL CHARIF LTDA,MAX POSTO,RODOVIA BR-277 CURITIBA-PARANAGUA,793,,CAJURU,82900335,CURITIBA,PARANA,VIBRA ENERGIA,GASOLINA COMUM,R$ / litro,5.35,2023-02-07
296112000131,PHOENIX AUTO POSTO LTDA,POSTO XV,RUA XV DE NOVEMBRO,2107,0,ALTO DA XV,80050000,CURITIBA,PARANA,RAIZEN,ETANOL,R$ / litro,4.19,2023-02-07
296112000131,PHOENIX AUTO POSTO LTDA,POSTO XV,RUA XV DE NOVEMBRO,2107,0,ALTO DA XV,80050000,CURITIBA,PARANA,RAIZEN,DIESEL S10,R$ / litro,6.29,2023-02-07
